"source","target"
"Glide Unit Mk. III","Gleiteinheit mk. III.;"
"Fuel Compressor Mk. I","Kraftstoffkompressor Mk. I;"
"Hover Fuel Amount: ","Hover Kraftstoffmenge:;"
"Light Unit","Lichteinheit;"
"Flashlight Power Usage: ","Taschenlampe Stromverbrauch:;"
"Flashlight Range: ","Taschenlampenbereich:;"
"Glide Unit Mk. I","Gleiteinheit mk. ich;"
"Heat Pistol","Wärmepistole;"
"Circuit Board",""
"Processor used to build complex structures, vehicles, and items.","Prozessor, der verwendet wurde, um komplexe Strukturen, Fahrzeuge und Gegenstände aufzubauen.;"
"Plutonium",""
"Highly radioactive energy source.","Hochradioaktive Energiequelle.;"
"Sand",""
"Crafting item for forging glass in Furnace or making soil in Chemistry Table.","Handwerksgegenstand zum Schmieden von Glas im Ofen oder Boden in der Chemiestabelle.;"
"Hose",""
"A Rubber hose.","Ein Gummischlauch.;"
"Lead",""
"A soft, very dense metal that is commonly used for projectiles and in radiation shielding applications.","Ein weiches, sehr dichtes Metall, das üblicherweise für Geschosse und in Strahlungsabschirmungsanwendungen verwendet wird.;"
"Plutonium Ingot","Plutonium-Ingot.;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 639.4 °C
",""
"Fury","Wut;"
"Stamina Boosted: ","Ausdauer steigert:;"
"A strong compound created to give you a boost to your stamina.","Eine starke Verbindung, die erstellt wurde, um Ihnen einen Schub für Ihre Ausdauer zu geben.;"
"Cubic Zirconia",""
"A cut, refined piece of crystalline Zirconium.","Ein geschnittenes, raffiniertes Stück kristalliner Zirkonium.;"
"Storage Unit Mk. I","Speichereinheit Mk. ich;"
"Adds Inventory Slots: ","Fügt Bestandsschlitzen hinzu:;"
"Tree Sap","Baum Saft;"
"Viscous liquid used for crafting more advanced items.","Viskose-Flüssigkeit, die zum Herstellen von fortgeschrittenen Elementen verwendet wird.;"
"Gnat Teeth","Mückenzähne;"
"Crafting item for building weapon modifications, calcium powder and other items.","Handwerksgegenstand zum Bauen von Waffenmodifikationen, Calciumpulver und anderen Gegenständen.;"
"Potato","Kartoffel;"
"Raw food that can be eaten to replenish hunger. Is more nutritious when cooked. Can be eaten while equipped or straight from storage.","Rohkost, das gegessen werden kann, um den Hunger aufzufüllen. Ist nahrhafter, wenn er gekocht ist. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden.;"
"Arachnoid Leg","Arachnoid-Bein.;"
"Leg ripped right off the body of a Arachnoid. Used in a variety of crafting recipes.","Bein riss direkt vom Körper eines Arachnoidnoiden. In einer Vielzahl von Handwerksrezepten verwendet.;"
"Sword Leaves","Schwert Blätter;"
"Leaves taken from a sword plant used as an ingredient to craft different items. Can be eaten for a small increase in health and nutrition.","Blätter aus einer Schwertanlage, die als Inhaltsstoff verwendet werden, um verschiedene Gegenstände zu erzeugen. Kann für einen kleinen Anstieg der Gesundheit und Ernährung gegessen werden.;"
"Sweet Alien Jerky","Süßer Alien Jerky.;"
"A delicious piece of candied alien meat. Eat while equipped or straight from inventory.","Ein köstliches Stück kandiertes fremdes Fleisch. Essen Sie während der Ausstattung oder direkt aus dem Inventar.;"
"Tool Holster","Werkzeugholster.;"
"Tree Bark","Baumrinde;"
"Bark taken from an indigenous tree used as an ingredient to craft different items.","Rinde aus einem indigenen Baum genommen, der als Inhaltsstoff verwendet wird, um verschiedene Gegenstände zu erzeugen.;"
"Crab Leg Meat",""
"Meat taken from the leg of a Crab monster. Cook to avoid food poisoning.","Fleisch aus dem Bein eines Krabbenmonsters. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Reactor Pistol","Reaktorpistole;"
"Fuel Compressor Mk. II","Kraftstoffkompressor Mk. II;"
"Cryo Rifle","Kryo-Gewehr;"
"Stim Unit Mk. III","Stimeinheit Mk. III.;"
"Rock",""
"Rocks are used as tools and building materials. To use it as a weapon convert it in your crafting menu to a Bashing Rock.","Felsen werden als Werkzeuge und Baustoffe verwendet. Um es als Waffe zu verwenden, konvertieren Sie es in Ihr Handwerksmenü in ein Bashing-Rock.;"
"Makeshift Chisel",""
"Hardness: ",""
"Makeshift blunt tool used for mining mineral ores with a hardness of 3. It can be reused for melee combat.","Proveshift Blunt-Werkzeug, das zum Bergbau Mineralerzungen mit einer Härte von 3 verwendet wird. Es kann für den Nahkampf wiederverwendet werden.;"
"Crude Metal Blade","Rohe Metallklinge;"
"A piece of sharpened metal that can be used to make a basic sword.","Ein Stück geschärftes Metall, das verwendet werden kann, um ein grundlegendes Schwert herzustellen.;"
"A51 Heavy Assault Rifle","A51 schweres Sturmgewehr;"
"Broken Hose","Gebrochener Schlauch.;"
"A damaged section of hose, could be patched up to be operational again.","Ein beschädigter Abschnitt des Schlauches könnte wieder eingerichtet werden, um wieder betriebsbereit zu sein.;"
"Crude Metal Axe","Rohe Metal Axt.;"
"A slashing tool that is essentially a sharpened metal ingot on a stick with some tape.","Ein Schneidwerkzeug, das im Wesentlichen ein geschärfter Metallblock auf einem Stock mit etwas Klebeband ist.;"
"Bolt Rifle","Riegelgewehr;"
"Scrap Hinge",""
"A small hinge salvaged from debris.","Ein kleines Scharnier, das von Trümmern gerettet ist.;"
"Medkit","Medkit.;"
"Advanced medical kit that heals a lot of hitpoints. Can be used while equipped or straight from inventory.","Advanced Medical Kit, das viele Hitpoints heilt. Kann während der Ausstattung oder direkt aus dem Inventar verwendet werden.;"
"Plastic",""
"Crafting item for building structures, walls, and other items.","Handwerksgegenstand für Baustrukturen, Wände und andere Gegenstände.;"
"Propellant Tank","Treibmittelbehälter;"
"Where propellant is stored in a container belonging within a vehicle.","Wo Treibmittel in einem Behälter aufbewahrt wird, der in einem Fahrzeug gehört.;"
"Flare","Flare;"
"Bashing Rock",""
"Useful when you have no other tools.",""
"Broken Barrel","Beschädigtes Faß;"
"A Barrel that has been damaged and can no longer store gases. A few patches could make this functional again.","Ein Barrel, der beschädigt wurde und keine Gase mehr lagern kann. Einige Patches könnten diese Funktion wieder erstellen.;"
"Vampire Dust","Vampirstaub;"
"Agility Boosted: ","Gesteigerte Beweglichkeit:;"
"Advanced compound created to boost your strength and speed.","Fortgeschrittene Verbindung erstellt, um Ihre Festigkeit und Geschwindigkeit zu steigern.;"
"Carbon Ingot","Kohlebarren;"
"

- Melting point: 3550 °C
",""
"Inflatable Dome Kit",""
"Kit used to build Inflatable Dome. To build, right-click on Inventory Item and select Build or select the Inflatable Dome from the Structures tab in your Character Menu.","Kit zum Bau aufblasbarer Kuppel. Um zu erstellen, klicken Sie mit der rechten Maustaste auf Inventory-Artikel und wählen Sie den aufblasbaren Dome auf dem aufblasbaren Kuppel aus der Registerkarte Strukturen in Ihrem Zeichenmenü aus.;"
"Grilled Tumbo Meat","Gegrilltes Tumbonfleisch;"
"Meat ripped right off the body of a Tumbo. Has been cooked and is safe to eat.","Fleisch riss direkt vom Körper eines Tumbos. Wurde gekocht und ist sicher zu essen.;"
"Chisel","Meißel;"
"Powerful blunt tool used for mining mineral ores with a hardness of 7. It can be reused for melee combat.","Leistungsstarkes stumpfes Werkzeug, das für Bergbau mineralische Erze mit einer Härte von 7 verwendet wird. Es kann für den Nahkampf wiederverwendet werden.;"
"Hiking Cleats","Wanderklopfen;"
"25% critical hit","25% kritischer Treffer;"
"Ammo magazine for the Bolt Rifle. It is automatically used when reloading, if stored in backpack.","Munitionsmagazin für das Bolzengewehr. Es wird beim Nachladen automatisch verwendet, wenn er im Rucksack gespeichert ist.;"
"Stim Unit Mk. II","Stimeinheit Mk. II;"
"Scrap Metal",""
"Small pieces of metal left over after the greater portion of metal has already been used.","Kleine Metallstücke, die nach dem größeren Teil des Metalls übrig übrig sind, wurden bereits verwendet.;"
"Tungsten Ingot","Wolfram Ingot.;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 3422 °C
",""
"Uranium","Uran;"
"A dense, radioactive metal used commonly in nuclear fission based power generation.
",""
"Nitrogen","Stickstoff;"
"An odorless and colorless component of nucleic acids, amino acids, and thus proteins, important to create fertilisers and explosives.","Eine geruchlose und farblose Komponente von Nukleinsäuren, Aminosäuren und damit Proteinen, der wichtig ist, Düngemittel und Sprengstoffe zu erstellen.;"
"Cobalt",""
"A metal often used in the creation of magnets, batteries and as an additive in wear-resistant alloys.","Ein Metall, das häufig bei der Erstellung von Magneten, Batterien und als Zusatzstoff in verschleißfesten Legierungen verwendet wird.;"
"Pipe","Rohr;"
"50% critical hit","50% kritischer Treffer;"
"A basic formed pipe, can be used as a melee weapon.","Eine grundlegende geformte Rohrleitung kann als Nahkampfwaffe verwendet werden.;"
"Makeshift Laser Chisel","Macheshift-Laser-Meißel;"
"An overclocked makeshift laser that can slowly sample the hardest minerals, its short battery life makes it a poor mining device.","Ein übertakteter Proveshift-Laser, der langsam die härtesten Mineralien probieren kann, seine kurze Akkulaufzeit macht es zu einem schlechten Bergbaugerät.;"
"D24k Assault Rounds","D24K-Angriffsrunden;"
"Zirconium Circuit Board",""
"Mother board made using zirconium and used when building certain complex structures, vehicles, and items.","Mutter Board mit Zirkonium hergestellt und beim Aufbau bestimmter komplexer Strukturen, Fahrzeuge und Gegenstände verwendet.;"
"Yellow Pedal Flower","Gelbe Pedalblume.;"
"Indigenous fungus found in the wild. It's poisonous to eat, but can be used to craft special items.","Indigene Pilz in freier Wildbahn. Es ist giftig zu essen, kann aber dazu verwendet werden, spezielle Gegenstände herzustellen.;"
"Wrench","Schlüssel;"
"A basic multi-tool that can be used for repairing, salvaging, and precise tinkering.","Ein grundlegendes Multi-Tool, das zur Reparatur, Erlösung und präzisen Bastelung verwendet werden kann.;"
"Battery",""
"Replaces depleted battery in flashlight.","Ersetzt die erschöpften Batterie in Taschenlampe.;"
"Gem Leaf Fruit","Edelsteinblattfrucht.;"
"Very nutritious food to replenish hunger. Can be eaten while equipped or straight from storage.","Sehr nahrhaftes Essen zum Auffüllen des Hungers. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden.;"
"Azurnium",""
"Strange crystal with sparsely understood physical properties. Useful in High-Tech devices.","Seltsamer Kristall mit spärlich verstandenen physikalischen Eigenschaften. Nützlich in High-Tech-Geräten.;"
"Shaped Crab Antenna",""
"A shaped fragment of a Crab Antenna, could be fashioned into a crude precision tool.",""
"Blitz","Blitz;"
"A weak compound created to give a small boost to your stamina.","Eine schwache Verbindung, die erzeugt wurde, um Ihrer Ausdauer einen kleinen Schub zu verleihen.;"
"Fungus","Pilz;"
"Heat Sink Unit Mk. III","Kühlkörper-Einheit Mk. III.;"
"Light Unit Mk. I","Lichteinheit Mk. ich;"
"Crude Pipe",""
"A crude pipe fashioned from bent scrap metal.","Eine rohe Rohr aus gebogenem Schrottmetall.;"
"Orcek Soup","Orcek-Suppe.;"
"Delicious broth preserved in highly mobile packaging. Eat while equipped or straight from inventory.","Köstliche Brühe in hochmobilen Verpackungen erhalten. Essen Sie während der Ausstattung oder direkt aus dem Inventar.;"
"Charge Rifle","Ladungsgewehr;"
"Hydrogen","Wasserstoff;"
"A highly-flammable gas that is without both color and odor, and is used mainly as rocket fuel for energy.","Ein hochentzündliches Gas, das ohne Farbe und Geruch ist, und wird hauptsächlich als Raketenkraftstoff für Energie verwendet.;"
"Obsidian","Obsidian;"
"A volcanic glass capable of being knapped into sharp blades.","Ein vulkanisches Glas, das in scharfe Klingen verwandelt werden kann.;"
"Gnat Hook","Gnat Haken;"
"Crafting item for building weapon modifications, calcium powder 
and other items.",""
"White Gold",""
"A malleable alloy used most commonly in jewelry, could be used for manufaturing small parts.","Eine formbare Legierung, die am häufigsten in Schmuck verwendet wird, könnte für die Herstellung von Kleinteilen verwendet werden.;"
"Zircaloy",""
"High heat, hardness, and corrosion resistant alloy.","Hohe Hitze, Härte und korrosionsbeständige Legierung.;"
"Zinc",""
"A brittle metal generally used as an anti-corrosive coating and in various alloys.","Ein spröde Metall, das im Allgemeinen als Korrosionsschutzbeschichtung und in verschiedenen Legierungen verwendet wird.;"
"Snake Stew","Schlangeneintopf;"
"Gnat Meat","Gnat Fleisch;"
"Meat ripped right off the body of a Gnat. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper einer Gnat. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Oxygen","Sauerstoff;"
"A life-supporting colorless and odorless gas.","Ein lebensstützendes farbloses und geruchloses Gas.;"
"Solar Unit","Solareinheit;"
"Flashlight Battery Recharge: ","Taschenlampe Batterie aufladen:;"
"Key Card Tier-2","Schlüsselkarte Tier-2;"
"A mid-level clearance keycard used to open Osiris mission doors in abandoned settlements and mines.","Ein Mid-Level-Clearance-Keycard, der zum Öffnen von Osiris Mission-Türen in aufgegebenen Siedlungen und Minen verwendet wurde.;"
"Light Range Extender","Lichtbereich Extender.;"
"Cast Iron",""
"High-Carbon steel alloy that is strong under compression and can be used for armor plating.","Hochkohlenstoff-Stahllegierung, die stark unter Kompression ist und zur Panzerplattierung verwendet werden kann.;"
"Alien Fiber",""
"Fibrous material harvested from indigenous plantlife. Can be woven into cloth that is an ingredient to craft many different items.","Fasermaterial von indigenen Plantlife geerntet. Kann in Tuch gewebt werden, das eine Bestandteil ist, um viele verschiedene Gegenstände zu baulenken.;"
"Leather","Leder;"
"Tanned piece of animal skin used in crafting.
",""
"Assault Rifle",""
"Talonite",""
"Durable alloy that holds an edge very well. Used in high precision applications.","Dauerhafte Legierung, die einen Rand sehr gut hält. In hochpräzisen Anwendungen verwendet.;"
"Blaster Cell","Blasterzelle;"
"Basic laser blaster cell.","Grundlegende Laser-Blasterzelle.;"
"Assault Rifle Commander","Angriffsgewehrkommanderer.;"
"Land Mine Set",""
"An explosive device that is used for defending you and your colony.","Ein Sprenggerät, das zum Verteidigen von Sie und Ihrer Kolonie verwendet wird.;"
"Lonsdaleite",""
"An allotrope of carbon that is a precursor to the crystalline formation of diamonds.","Ein Allotrop von Kohlenstoff, der eine Vorläufer der kristallinen Formation von Diamanten ist.;"
"Booster Unit Mk. II","Boostereinheit mk. II;"
"Titanium",""
"A low density, high strength metal commonly used in aeronautical crafts due to its high tensile strenght to density ratio and corrosion resistance.","Eine geringe Dichte, hochfestes Metall, das üblicherweise in Luftfahrzeugen aufgrund seiner hohen Zugstärke zum Dichteverhältnis und der Korrosionsbeständigkeit verwendet wird.;"
"Alien Meat","Alien Fleisch;"
"Meat ripped right off the body of an indigenous alien creature. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper einer indigenen außerirdischen Kreatur. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Alien Tissue","Aliengewebe;"
"Tissue ripped right off the body of an indigenous alien creature.","Gewebe riss direkt vom Körper einer indigenen außerirdischen Kreatur.;"
"Steel",""
"Complex metal used for building advanced structures and walls.

- Melting point: 1370 °C
",""
"Solar Unit Mk. I","Solareinheit Mk. ich;"
"Desert Yuccudis Fruit","Wüste Yuccudis-Früchte.;"
"Nutritious fruit to replenish hunger and slightly damage your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Nahrhafte Früchte, um Hunger aufzufüllen und Ihre Gesundheit leicht zu schädigen. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden. Wird auch als Zutat in der Handlung einiger Gegenstände verwendet.;"
"Heat Sink Unit Mk. II","Kühlkörper-Einheit Mk. II;"
"Glide Unit","Gleiteinheit;"
"Gravity Strength: ","Schwerkraftstärke:;"
"Scrap Rubber","Gummi ausschuss;"
"Small pieces of rubber that need to be melted down and reformed to be useful.","Kleine Gummistücke, die niedergeschmolzen und reformiert werden müssen, um nützlich zu sein.;"
"Crab Stew","Crab-Eintopf;"
"A delicious stew with added Crab Meat, Potatoes, and Carrots. Eat while equipped or straight from inventory.","Ein köstlicher Eintopf mit zusätzlichem Krabbenfleisch, Kartoffeln und Karotten. Essen Sie während der Ausstattung oder direkt aus dem Inventar.;"
"Skeliopod Tail",""
"Tail taken from a Skeliopod to be used for crafting purposes.","Schwanz von einem Skeliopod genommen, der für Handwerkszwecke verwendet werden soll.;"
"02 Pump Unit Mk. I","02 Pumpeneinheit Mk. ich;"
"Light Unit Mk. III","Lichteinheit Mk. III.;"
"Explosive","Explosiv;"
"A chemical explosive.","Ein chemischer Sprengstoff.;"
"Chromium","Chrom;"
"A hard metal that is the main additive in stainless steel due to its increase in strengthening and corrosion resistance when alloying.","Ein Hartmetall, das das Hauptzusatz in Edelstahl aufgrund seiner Erhöhung der Stärkung und Korrosionsbeständigkeit bei Legierung ist.;"
"Crab Eye","Krabbenauge;"
"Eye recovered from a crab monster.","Auge erholte sich aus einem Krabbenmonster.;"
"Afterburner","Nachbrenner;"
"A weak compound created to give a small boost to your carrying capacity.","Eine schwache Verbindung, die erzeugt wurde, um Ihrer Tragfähigkeit einen kleinen Schub zu ergeben.;"
"Arctlily","Arctlily.;"
"Petals from an Arctlily, thrives in extremely cold climates.","Blütenblätter aus einem Arctlily gedeihen in extrem kalten Klimazonen.;"
"Stim Unit Mk. I","Stimeinheit Mk. ich;"
"Backpack Storage","Rucksackspeicherung.;"
"T19 Assault Rounds","T19 Angriffsrunden;"
"5% critical hit","5% kritischer Treffer;"
"Broken Glass","Glassplitter;"
"Fragments of glass. Would need to be melted and reformed to create usable glass.","Fragmente des Glases. Müsste schmilzt und reformiert werden, um ein nutzbares Glas zu erzeugen.;"
"Grilled Orcek Meat","Gegrilltes Orcek Fleisch;"
"Meat ripped right off the body of an Orcek. Has been cooked and is safe to eat.","Fleisch riss direkt vom Körper eines Orzeks. Wurde gekocht und ist sicher zu essen.;"
"Cloth Bundle",""
"A bundle of tightly woven fibers.","Ein Bündel dicht gewebter Fasern.;"
"Bronze",""
"A basic alloy commonly used as a material for mechanical parts in modern times.","Eine Grundlegierung, die üblicherweise als Material für mechanische Teile in der modernen Zeit verwendet wird.;"
"Aluminum Ingot","Aluminium-Ingot.;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 660.3 °C
",""
"Titanium Ingot","Titan-Ingot.;"
"Ingots are bricks of purified building materials. You will use these in to build many different things.

- Melting point: 1668 °C
",""
"Diamond Chisel",""
"A chisel with a diamond tip that can chip away at the hardest of minerals.","Ein Meißel mit einer Diamantspitze, die am härtesten Mineralien abreihen kann.;"
"Conduit Bender","Conduit Bender.;"
"A heavy blunt weapon commonly used for bending pipes. Makes for an effective bludgeoning weapon.","Eine schwere stumpfe Waffe, die üblicherweise für Biegungsrohre verwendet wird. Sorgt für eine wirksame Buchtwaffe.;"
"Data Disk SN:134.33","Datenträger SN: 134.33;"
"Status: ","Status:;"
" (3 chances)"," (3 Chancen);"
"Booster Unit Mk. III","Boostereinheit mk. III.;"
"Unlocks Ability: ","Entsperren Sie die Fähigkeit:;"
"Blue Palms","Blaue Palmen;"
"Large blue palms taken from an indiginous plant that are used as an ingredient to craft many different items.","Große blaue Palmen, die aus einer indigen Pflanze genommen werden, die als Inhaltsstoff verwendet werden, um viele verschiedene Gegenstände zu erzeugen.;"
"Tungsten",""
"A hard, dense metal often used to make hard material alloys and armor-piercing projectiles.","Ein hartes, dichtes Metall wurde häufig verwendet, um harte materielle Legierungen und Rüstungsprojekte herzustellen.;"
"Skeliopod Shell",""
"Shell taken from a Skeliopod to be used for building defensive walls.","Muschel aus einem Skeliopod, der zum Bauen von Verteidigungswänden verwendet wird.;"
"Crab Meat",""
"Meat taken from the body of a Crab monster. Cook to avoid food poisoning.","Fleisch aus dem Körper eines Krabbenmonsters. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Fuel Compressor","Kraftstoffkompressor;"
"Zirconium","Zirkonium;"
"A lustrous metal primarily used as a refractory and opacifier.","Ein glänzendes Metall, das hauptsächlich als feuerfest und eindeutig verwendet wird.;"
"Scrap Antenna","Schrottantenne;"
"Pieces of antenna's that have been left over.","Stücke der Antennen, die überlassen wurden.;"
"Hydrochloric Acid","Salzsäure;"
"Violent chemical used to disintegrate matter.","Gewaltsame Chemikalie, um die Angelegenheit zu zerfallen.;"
"Shovel","Schaufel;"
"Tool used to gather Sand for use in crafting.",""
"Shard Blade",""
"A small sharp weapon made from a rock shard.",""
"Steamed Carrot","Gedämpfte Karotte;"
"Nutritious steamed carrot. Eat while equipped or straight from inventory.","Nahrhafte gedämpfte Karotte. Essen Sie während der Ausstattung oder direkt aus dem Inventar.;"
"Suit Heater","Anzugsheizung;"
"Recovery Unit","Wiederherstellungseinheit;"
"Damage Taken: ","Schaden genommen:;"
"Stone Shovel",""
"Wire",""
"Complex material used for crafting complex electric devices.","Komplexes Material, das zum Herstellen von komplexen elektrischen Geräten verwendet wird.;"
"Voice Log1","Stimme log1.;"
"VoiceLog1","Voicelog1.;"
"02 Pump Unit Mk. II","02 Pumpeneinheit Mk. II;"
"Zoom","Zoomen;"
"A compound created to give a boost to your speed.","Eine Verbindung, die erzeugt wurde, um Ihrer Geschwindigkeit einen Schub zu ergeben.;"
"Zirconium Plate",""
"Metal plating used for building certain advanced structures and walls.

- Melting point: 1370 °C
",""
"Tactical Knife","Taktisches Messer;"
"The Tactical Knife is a sharp weapon that is quieter to use than most weapons.","Das taktische Messer ist eine scharfe Waffe, die leiser ist als die meisten Waffen.;"
"Lens Cover","Objektivabdeckung;"
"Tumbo Meat","Tumbo-Fleisch;"
"Meat taken from the body of a Tumbo. Cook to avoid food poisoning.","Fleisch aus dem Körper eines Tumbos. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Skeliopod Stew","Skeliopod-Eintopf;"
"A-2 Heavy Assault Rounds","A-2 Schwere Angriffsrunden;"
"Advanced ammo magazine for the Heavy Assault Rifle. It is automatically used when reloading, if stored in backpack.","Fortschrittliches Munitionsmagazin für das schwere Sturmgewehr. Es wird beim Nachladen automatisch verwendet, wenn er im Rucksack gespeichert ist.;"
"Stone Axe",""
"A slashing tool that is essentially a rock on a stick with a nice handle.",""
"Makeshift Cloth Bundle",""
"A makeshift bundle of loosely woven fibers.",""
"Stone Blade",""
"A sharpened rock that can be used to make a blade.",""
"Stone Axe Head",""
"A sharpened rock that can be used to make an axe",""
"Beetle Ball","Käferkugel;"
"Sack taken from a Skeliopod.","Sack aus einem Skeliopod.;"
"Gnat Leg","Gnat-Bein;"
"Leg ripped right off the body of a Gnat. The meat can be cooked or the bone from the leg can be used to make a weapon.","Bein riss direkt vom Körper einer Mücke. Das Fleisch kann gekocht oder der Knochen aus dem Bein kann verwendet werden, um eine Waffe herzustellen.;"
"Bark","Borke;"
"Tree bark is used as an ingrediant to make different items in chemistry.","Baumrinde wird als Ingredred verwendet, um verschiedene Gegenstände in der Chemie zu erstellen.;"
"Water","Wasser;"
"Liquid used for crafting more advanced items. Can also be drank to quench thirst.","Flüssigkeit zum Herstellen von fortgeschrittenen Elementen. Kann auch getränk sein, um den Durst zu verlieren.;"
"Coral Branches","Korallenzweige;"
"Branches taken from a fan coral used as an ingredient to make different items in chemistry.","Zweige aus einem Fächerkorallen, das als Inhaltsstoff verwendet wird, um verschiedene Gegenstände in der Chemie zu erstellen.;"
"Botany Kit","Botanik-Kit.;"
"Tool used for extracting fluids from plants and creatures.","Werkzeug, das zur Extraktion von Flüssigkeiten aus Pflanzen und Kreaturen verwendet wird.;"
"Copper",""
"A soft, ductile metal with high electrical and thermal conductivity, commonly used in electrical wiring.","Ein weiches, duktiles Metall mit hoher elektrischer und thermischer Leitfähigkeit, üblicherweise in der elektrischen Verdrahtung verwendet.;"
"P C X","P c x.;"
"Liquid used for crafting more advanced items.","Flüssigkeit zum Herstellen von fortgeschrittenen Elementen.;"
"Urchin Shell",""
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Teil eines Urchins auf dem Land gefunden. Es ist gefährlich, roh zu essen, kann aber zum Handwerk und zum Kochen verwendet werden.;"
"Hydrogen Torch","Wasserstoffbrenner;"
"Fern Tree Berry",""
"Charred Alien Bits","Verkohlte Alien Bits.;"
"Bits of Alien Meat quickly cooked in extremely high temperature, not too tasty, but its technically safe to eat.","Bits von Alien Fleisch kocht schnell in extrem hoher Temperatur, nicht zu lecker, aber es ist technisch sicher zu essen.;"
"Alien Hide",""
"Hide skinned from the body of an indigenous alien creature.","Hautverhaut aus dem Körper einer einheimischen außerirdischen Kreatur.;"
"Crab Egg","Krabbenei;"
"Egg taken from the body of a Crab monster. Cook to avoid food poisoning.","Ei aus dem Körper eines Krabbenmonsters genommen. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Scrap Dish","Schrottform;"
"Dish parts that have been left over.","Geschirrteile, die überlassen wurden.;"
"Molybdenum","Molybdän;"
"A metal that is commonly used for the strengthening of steel.","Ein Metall, das üblicherweise zur Verstärkung von Stahl verwendet wird.;"
"Iron",""
"A moderately soft metal commonly used as a structural material when alloyed with other elements, mostly in the form of Steel.","Ein mäßig weiches Metall, das üblicherweise als strukturelles Material verwendet wird, wenn er mit anderen Elementen legiert, meistens in Form von Stahl.;"
"Arachnoid Meat","Arachnoid-Fleisch;"
"Meat ripped right off the body of a Arachnoid. Cook to avoid food poisoning.","Fleisch riss direkt vom Körper eines Arachnoids. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Stone Shovel Head",""
"A shaped rock that can be used to make a shovel.",""
"Sponge Tubes","Schwammröhren;"
"Tubes taken from a sponge tube trees used as an ingredient to make different items in chemistry.","Röhren aus einem Schwammrohrbäumen, die als Zutat verwendet werden, um verschiedene Gegenstände in der Chemie zu erstellen.;"
"Tumbo Soup","Tumbosuppe;"
"Orcek Leg","Orcek-Bein.;"
"Leg ripped right off the body of a Orcek. Cook to avoid food poisoning.","Bein riss direkt vom Körper eines Orcek. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Grilled Alien Meat",""
"Meat ripped right off the body of an indigenous alien creature. Has been cooked and is safe to eat.","Fleisch riss direkt vom Körper einer indigenen außerirdischen Kreatur. Wurde gekocht und ist sicher zu essen.;"
"Storage Unit Mk. II","Speichereinheit Mk. II;"
"Data Disk SN:144.22","Datenträger SN: 144.22;"
"Redfern Tree Berry",""
"Nutritious fruit to replenish hunger and will slightly improve your health. Can be eaten while equipped or straight from storage. Also used as an ingredient in the crafting of some items.","Nahrhafte Früchte, um Hunger aufzufüllen und Ihre Gesundheit leicht zu verbessern. Kann während der Ausstattung oder direkt aus der Lagerung gegessen werden. Wird auch als Zutat in der Handlung einiger Gegenstände verwendet.;"
"Moonshroom","Mondscheibe;"
"Indigenous fungus found on the surface of Lutari. It's edible, but isn't very nutritious.","Indigene Pilz auf der Oberfläche von Lutari gefunden. Es ist essbar, ist aber nicht sehr nahrhaft.;"
"Brass",""
"Soft alloy that excels in low friction applications.","Weiche Legierung, die in geringen Reibungsanwendungen auszeichnet.;"
"Cryo Rifle Ammo","Kryo-Gewehrmunition;"
"Advanced water filled ammo clip for a Cryo Rifle. This water filled container can only be fabricated in and advanced fabricator.","Fortgeschrittener wassergefüllter Munitionsclip für ein Kryo-Gewehr. Dieser mit Wasser gefüllte Behälter kann nur im und fortschrittlichen Hersteller hergestellt werden.;"
"Tumbo Leg","Tumbo-Bein;"
"Leg taken from the body of a Tumbo. Cook to avoid food poisoning.","Bein aus dem Körper eines Tumbos. Kochen, um Lebensmittelvergiftung zu vermeiden.;"
"Berry Juice","Beerensaft;"
"A syrupy, tart juice created from cooked berries.","Ein syruster, törtchen Saft aus gekochten Beeren.;"
"Magnesium","Magnesium;"
"A metal susceptible to corrosion commonly used in creating lightweight materials and alloys.","Ein für Korrosion anfälliges Metall, das üblicherweise beim Erstellen von leichten Materialien und Legierungen verwendet wird.;"
"Cooked Orcek Egg","Gekochtes Orcek Egg.;"
"Delicious cooked Orcek Egg. Eat while equipped or straight from inventory.","Köstliches gekochtes Orzekei. Essen Sie während der Ausstattung oder direkt aus dem Inventar.;"
"Hydrocarbon Solution","Kohlenwasserstofflösung.;"
